Name,Member Number,Class,5%,35%,Mean,65%,95%,Low Place,Mid Place,High Place,Actual Percent,Actual Place
Jon Bautista,A88221,GM,78.13889262102079,82.02845949706759,86.02252789525716,89.8075932491612,93.69716012520801,111,52,31,82.36813617786535,56
Matthew Nash,L5009,M,78.10066688980078,81.93538073228784,84.9211384010217,89.60480841726202,93.43952225974908,118,61,31,77.93666639391257,94
Rodney Hawkins,TY130714,M,78.0847814849247,82.23337996680564,84.80984881289073,90.53057693056755,94.6791754124485,116,61,28,81.1495210171044,67
Shane Coley,L5387,GM,78.06843275494077,82.29331703239055,84.61700338498792,90.7430855872901,94.96796986473987,117,61,27,88.9037185352197,24
Keith Tyler,L2525,GM,78.01741901877305,81.07873952922857,84.27542146143907,87.2013805501396,90.26270106059512,123,65,47,72.6075255694975,163
Bo Oeltjen,A107036,M,77.90328356328845,81.62344209286245,85.77846963512884,89.06375915201046,92.78391768158447,114,53,33,75.6748587821457,124
James Ramos,TY65542,A,77.51811266859153,81.63159076201666,83.8940037134005,89.85854694886696,93.9720250422921,122,69,30,80.08915299723665,73
Riley Bowman,L5336,M,77.38497921628876,81.33749741188197,85.10290944635202,89.2425338030684,93.19505199866161,121,59,32,77.42726387021371,106
David Murphy,A98899,M,77.38101414372827,81.24925798240596,85.08421241711501,88.98574565976136,92.85398949843906,121,59,33,76.556907685485,115
Casey Ryan,FY82686,GM,77.35967099553179,81.48501238705283,85.36682015766596,89.73569517009494,93.861036561616,118,57,31,77.78393493407727,99
Marlo ralph Migrino,A132627,A,77.26178831294789,81.17249306325117,83.79100947258243,88.99390256385773,92.90460731416101,128,69,33,70.43186124780073,184
Wesley Cronin,L5096,M,77.2289934900458,81.0588931519456,85.09500569957865,88.71869247574521,92.54859213764503,121,59,34,84.65403639746667,43
Deshaun “DJ” Jenkins,A133084,M,77.025864290433,80.80784945342934,83.95775658263729,88.37181977942197,92.15380494241829,131,69,37,76.50014361521784,117
Joel Fisher,A115917,M,76.99675318450257,80.81904232159755,84.82760280747559,88.46362059578755,92.28590973288253,122,61,35,76.78449290764038,112
Trey Ward,A130809,M,76.93962753659687,81.0705589394699,83.50149314597994,89.33242174521597,93.463353148089,132,73,32,74.41889812237005,136
John Martello,FY134078,GM,76.85084884370063,80.70518486077387,84.46048417341288,88.41385689492037,92.26819291199362,126,65,37,76.06295985299366,119
Jesse Newton,TY89958,GM,76.73752840259311,80.64572441998965,84.34443012785005,88.4621164547827,92.37031247217922,127,65,35,77.82739331828947,97
David Miller,TY81670,M,76.69680249549636,80.56148072944565,84.9758677931249,88.2908371973442,92.1555154312935,122,61,37,81.4092658990314,63
Billy Barton,A113228,GM,76.51906399069378,80.83523248682623,85.58653635697715,89.46756947909114,93.78373797522359,121,55,31,77.38373590015742,107
Saul Allen,TY104860,GM,76.3593583744624,80.2515881856596,84.12034898364806,88.03604780805401,91.9282776192512,132,67,39,80.49488353482143,71
Devin Degray,A133487,A,76.31589575003869,80.35382574563171,82.99491083601913,88.42968573681776,92.46761573241078,134,80,37,73.60255477106499,148
Samuel Lorino,A114066,M,76.31026498070383,80.21292779648813,84.18773235403918,88.0182534280567,91.92091624384099,132,66,39,78.36991730148925,92
Joshua Espinosa,TY133889,A,76.29024481550024,80.22797245170979,83.3652433321137,88.10342772412892,92.04115536033848,134,76,39,0.0,481
Caleb Higby,A80603,M,76.28318990307865,80.45801373978165,82.9919296231354,88.80766141318762,92.98248524989063,134,80,34
Micah Swan,TY96364,M,76.1025148149165,79.96973712167569,83.99944070544484,87.70418173519408,91.57140404195327,133,69,41
Corrie Harlow,A135704,M,76.02999369203019,79.92944799684697,83.53062478534063,87.72835660648055,91.62781091129733,134,72,40,81.36820333143145,64
Tyrel Cooper,A135047,A,75.55831331160434,79.2173885461349,82.2437366144433,86.53553901519606,90.19461424972664,140,90,51,79.25764792962883,84
Payton Garcia,A136092,M,75.3185633688725,79.48302685896306,83.15805596440107,87.81195383914418,91.97641732923474,136,79,40,74.4632148509709,135
Jonathan Anderson,A56236,M,75.30536337072228,78.68304932138483,81.80834538850137,85.43842122270992,88.81610717337246,147,93,56,0.0,489
Tucker Schmidt,A93627,M,75.26141455638196,79.34122525162104,83.84813673095576,87.50084664209919,91.58065733733825,134,69,42,80.88805608359189,68
Ricky Labistre,A112657,M,75.23629472873006,79.33988105153097,82.41056085396032,87.54705369713278,91.65064001993369,138,87,41,60.98840536974056,307
James Cantrell,L4837,M,75.11462831709275,79.26997542980531,83.65979292942171,87.58066965523045,91.73601676794301,136,70,41,77.21026634172888,109
Stephen Van,A84775,M,74.93132056612903,79.18890429626272,83.16008971664507,87.70407175653013,91.9616554866638,136,79,41,70.79448096544874,181
Matthew Chuey,A98334,M,74.8189547641528,78.817524339874,82.48032368757283,86.8146634913164,90.81323306703759,143,87,49,79.14361204591565,87
Breno Lima,TY101033,M,74.62107891394464,79.15840109067624,83.77548624524958,88.2330454441394,92.77036762087101,136,69,38,81.91929509993507,59
